Temperature,Ratio_33%,Ratio_85%
-9.928772777609987, 1.43687707641196, 1.1677740863787376
-4.937330111748716, 1.3239202657807307, 1.0980066445182723
0.20537601932950622, 1.207641196013289, 1.0249169435215948
5.047317024061211, 1.1212624584717608, 0.9651162790697675
10.042534984395452, 1.058139534883721, 0.9219269102990033
15.040018121413475, 1.0249169435215948, 0.8820598006644517
20.11376220678546, 0.9983388704318936, 0.8588039867109634
25.035991140642302, 0.9717607973421927, 0.835548172757475
30.033977650256723, 0.9451827242524917, 0.8156146179401993
35.032719218765735, 0.9285714285714286, 0.7990033222591362
40.030705728380156, 0.9019933554817274, 0.7757475083056478
45.02919561059097, 0.8820598006644517, 0.7591362126245846
49.951927917044195, 0.8621262458471759, 0.7358803986710962
